Cycle: 5  NKG2A  32 nM_X	Cycle: 5  NKG2A  32 nM_Y	Fitted Cycle: 5  NKG2A  32 nM_X	Fitted Cycle: 5  NKG2A  32 nM_Y	Cycle: 6  NKG2A  16 nM_X	Cycle: 6  NKG2A  16 nM_Y	Fitted Cycle: 6  NKG2A  16 nM_X	Fitted Cycle: 6  NKG2A  16 nM_Y	Cycle: 7  NKG2A  8 nM_X	Cycle: 7  NKG2A  8 nM_Y	Fitted Cycle: 7  NKG2A  8 nM_X	Fitted Cycle: 7  NKG2A  8 nM_Y	Cycle: 8  NKG2A  4 nM_X	Cycle: 8  NKG2A  4 nM_Y	Fitted Cycle: 8  NKG2A  4 nM_X	Fitted Cycle: 8  NKG2A  4 nM_Y	Cycle: 9  NKG2A  2 nM_X	Cycle: 9  NKG2A  2 nM_Y	Fitted Cycle: 9  NKG2A  2 nM_X	Fitted Cycle: 9  NKG2A  2 nM_Y	Cycle: 10  NKG2A  8 nM_X	Cycle: 10  NKG2A  8 nM_Y	Fitted Cycle: 10  NKG2A  8 nM_X	Fitted Cycle: 10  NKG2A  8 nM_Y
-55.86	-0.0487061	-55.86	0	-55.86	-0.0172119	-55.86	0	-55.86	-0.0317383	-55.86	0	-55.86	0.0111083	-55.86	0	-55.86	0.0327148	-55.86	0	-55.86	0.0252685	-55.86	0
-55.76	-0.0428467	-55.76	0	-55.76	-9.39941e-3	-55.76	0	-55.76	-0.0356445	-55.76	0	-55.76	9.15527e-3	-55.76	0	-55.76	0.034668	-55.76	0	-55.76	0.0272217	-55.76	0
-55.66	-0.0395915	-55.66	0	-55.66	-0.0120036	-55.66	0	-55.66	-0.0226237	-55.66	0	-55.66	6.55109e-3	-55.66	0	-55.66	0.0340169	-55.66	0	-55.66	0.0258382	-55.66	0
-55.56	-0.0395913	-55.56	0	-55.56	-0.0120034	-55.56	0	-55.56	-0.0265298	-55.56	0	-55.56	0.0116782	-55.56	0	-55.56	0.0281577	-55.56	0	-55.56	0.0187582	-55.56	0
-55.46	-0.0421956	-55.46	0	-55.46	-4.84213e-3	-55.46	0	-55.46	-0.0213216	-55.46	0	-55.46	5.90006e-3	-55.46	0	-55.46	0.0392253	-55.46	0	-55.46	0.0278727	-55.46	0
-55.36	-0.0415446	-55.36	0	-55.36	-4.19107e-3	-55.36	0	-55.36	-0.0187174	-55.36	0	-55.36	8.50415e-3	-55.36	0	-55.36	0.0418294	-55.36	0	-55.36	0.0285237	-55.36	0
-55.26	-0.0434977	-55.26	0	-55.26	-6.14423e-3	-55.26	0	-55.26	-0.0128581	-55.26	0	-55.26	0.0143636	-55.26	0	-55.26	0.0379232	-55.26	0	-55.26	0.0304769	-55.26	0
-55.16	-0.0506592	-55.16	0	-55.16	-0.0133057	-55.16	0	-55.16	-0.0141602	-55.16	0	-55.16	9.15527e-3	-55.16	0	-55.16	0.0366211	-55.16	0	-55.16	0.0291748	-55.16	0
-55.06	-0.046753	-55.06	0	-55.06	-0.0133058	-55.06	0	-55.06	-5.12707e-3	-55.06	0	-55.06	7.20209e-3	-55.06	0	-55.06	0.036621	-55.06	0	-55.06	0.0291747	-55.06	0
-54.96	-0.0519613	-54.96	0	-54.96	-0.0107015	-54.96	0	-54.96	-0.0135091	-54.96	0	-54.96	0.0156657	-54.96	0	-54.96	0.0294596	-54.96	0	-54.96	0.0220133	-54.96	0
-54.86	-0.0454508	-54.86	0	-54.86	-8.09726e-3	-54.86	0	-54.86	-0.0148111	-54.86	0	-54.86	0.0143636	-54.86	0	-54.86	0.0281576	-54.86	0	-54.86	0.0207112	-54.86	0
-54.76	-0.0467529	-54.76	0	-54.76	-9.39941e-3	-54.76	0	-54.76	-0.0180664	-54.76	0	-54.76	7.20215e-3	-54.76	0	-54.76	0.034668	-54.76	0	-54.76	0.0174561	-54.76	0
-54.66	-0.0487061	-54.66	0	-54.66	3.66211e-4	-54.66	0	-54.66	-8.30078e-3	-54.66	0	-54.66	5.24902e-3	-54.66	0	-54.66	0.034668	-54.66	0	-54.66	0.0272217	-54.66	0
-54.56	-0.037801	-54.56	0	-54.56	-2.40064e-3	-54.56	0	-54.56	-0.0130208	-54.56	0	-54.56	0.0181071	-54.56	0	-54.56	0.029948	-54.56	0	-54.56	0.0225016	-54.56	0
-54.46	-0.0389404	-54.46	0	-54.46	-5.49316e-3	-54.46	0	-54.46	-0.0141602	-54.46	0	-54.46	0.020874	-54.46	0	-54.46	0.0288086	-54.46	0	-54.46	0.0252686	-54.46	0
-54.36	-0.0467529	-54.36	0	-54.36	-7.44629e-3	-54.36	0	-54.36	-0.0219727	-54.36	0	-54.36	0.0150146	-54.36	0	-54.36	0.0327148	-54.36	0	-54.36	0.0194092	-54.36	0
-54.26	-0.041626	-54.26	0	-54.26	-7.44629e-3	-54.26	0	-54.26	-0.012207	-54.26	0	-54.26	9.15527e-3	-54.26	0	-54.26	0.0327148	-54.26	0	-54.26	0.0135498	-54.26	0
-54.16	-0.0441488	-54.16	0	-54.16	-2.88901e-3	-54.16	0	-54.16	-0.011556	-54.16	0	-54.16	0.0137126	-54.16	0	-54.16	0.0333659	-54.16	0	-54.16	0.0181071	-54.16	0
-54.06	-0.049357	-54.06	0	-54.06	1.66839e-3	-54.06	0	-54.06	-8.95172e-3	-54.06	0	-54.06	0.01827	-54.06	0	-54.06	0.0262045	-54.06	0	-54.06	0.0226645	-54.06	0
-53.96	-0.0552165	-53.96	0	-53.96	-4.1911e-3	-53.96	0	-53.96	-0.0128581	-53.96	0	-53.96	0.0124105	-53.96	0	-53.96	0.0313314	-53.96	0	-53.96	0.016805	-53.96	0
-53.86	-0.0543213	-53.86	0	-53.86	6.10352e-4	-53.86	0	-53.86	-2.19727e-3	-53.86	0	-53.86	0.0172118	-53.86	0	-53.86	0.0290527	-53.86	0	-53.86	0.0177001	-53.86	0
-53.76	-0.0578206	-53.76	0	-53.76	8.09732e-3	-53.76	0	-53.76	-3.7435e-3	-53.76	0	-53.76	0.0156657	-53.76	0	-53.76	0.0314128	-53.76	0	-53.76	0.0142008	-53.76	0
-53.66	-0.0604248	-53.66	0	-53.66	2.31934e-3	-53.66	0	-53.66	-8.30078e-3	-53.66	0	-53.66	0.020874	-53.66	0	-53.66	0.0288086	-53.66	0	-53.66	0.0213623	-53.66	0
-53.56	-0.0656332	-53.56	0	-53.56	2.97034e-3	-53.56	0	-53.56	-7.64978e-3	-53.56	0	-53.56	0.0176187	-53.56	0	-53.56	0.0333658	-53.56	0	-53.56	0.0161539	-53.56	0
-53.46	-0.0584717	-53.46	0	-53.46	0.0101318	-53.46	0	-53.46	-4.88281e-4	-53.46	0	-53.46	0.0130615	-53.46	0	-53.46	0.0307617	-53.46	0	-53.46	0.0128174	-53.46	0
-53.36	-0.0597739	-53.36	0	-53.36	8.82965e-3	-53.36	0	-53.36	-1.79046e-3	-53.36	0	-53.36	0.0176188	-53.36	0	-53.36	0.0294595	-53.36	0	-53.36	0.0200602	-53.36	0
-53.26	-0.0610759	-53.26	0	-53.26	7.52765e-3	-53.26	0	-53.26	-7.73114e-3	-53.26	0	-53.26	0.0163167	-53.26	0	-53.26	0.0242513	-53.26	0	-53.26	0.0187581	-53.26	0
-53.16	-0.0604248	-53.16	0	-53.16	0.0179443	-53.16	0	-53.16	-4.88281e-4	-53.16	0	-53.16	0.0162354	-53.16	0	-53.16	0.0327148	-53.16	0	-53.16	0.0194092	-53.16	0
-53.06	-0.0513104	-53.06	0	-53.06	0.0172931	-53.06	0	-53.06	4.71985e-3	-53.06	0	-53.06	0.0143635	-53.06	0	-53.06	0.0340167	-53.06	0	-53.06	0.0187581	-53.06	0
-52.96	-0.0545654	-52.96	0	-52.96	0.0140381	-52.96	0	-52.96	1.46484e-3	-52.96	0	-52.96	0.0111084	-52.96	0	-52.96	0.0249023	-52.96	0	-52.96	0.0213623	-52.96	0
-52.86	-0.0552165	-52.86	0	-52.86	0.013387	-52.86	0	-52.86	0.0105794	-52.86	0	-52.86	0.0143636	-52.86	0	-52.86	0.0281575	-52.86	0	-52.86	0.0187581	-52.86	0
-52.76	-0.0705974	-52.76	0	-52.76	7.77179e-3	-52.76	0	-52.76	4.96417e-3	-52.76	0	-52.76	0.0107015	-52.76	0	-52.76	0.034261	-52.76	0	-52.76	0.015096	-52.76	0
-52.66	-0.0558675	-52.66	0	-52.66	0.0225016	-52.66	0	-52.66	6.02213e-3	-52.66	0	-52.66	9.80631e-3	-52.66	0	-52.66	0.0333659	-52.66	0	-52.66	0.0239665	-52.66	0
-52.56	-0.0578205	-52.56	0	-52.56	0.0244549	-52.56	0	-52.56	2.11602e-3	-52.56	0	-52.56	0.0215251	-52.56	0	-52.56	0.0353191	-52.56	0	-52.56	0.0220134	-52.56	0
-52.46	-0.0617269	-52.46	0	-52.46	0.0322672	-52.46	0	-52.46	1.6275e-4	-52.46	0	-52.46	0.0234782	-52.46	0	-52.46	0.0333659	-52.46	0	-52.46	0.0181071	-52.46	0
-52.36	-0.0654705	-52.36	0	-52.36	0.027303	-52.36	0	-52.36	4.96411e-3	-52.36	0	-52.36	0.0204671	-52.36	0	-52.36	0.0284016	-52.36	0	-52.36	0.015096	-52.36	0
-52.26	-0.0734456	-52.26	0	-52.26	0.0225016	-52.26	0	-52.26	1.6275e-4	-52.26	0	-52.26	0.0137126	-52.26	0	-52.26	0.0275065	-52.26	0	-52.26	8.34146e-3	-52.26	0
-52.16	-0.0584717	-52.16	0	-52.16	0.0198975	-52.16	0	-52.16	-2.44141e-3	-52.16	0	-52.16	0.0169678	-52.16	0	-52.16	0.0366211	-52.16	0	-52.16	7.69043e-3	-52.16	0
-52.06	-0.0597739	-52.06	0	-52.06	0.0322672	-52.06	0	-52.06	1.62661e-4	-52.06	0	-52.06	0.0195719	-52.06	0	-52.06	0.0333658	-52.06	0	-52.06	4.43518e-3	-52.06	0
-51.96	-0.0669352	-51.96	0	-51.96	0.0309651	-51.96	0	-51.96	-5.04559e-3	-51.96	0	-51.96	0.0241292	-51.96	0	-51.96	0.0320638	-51.96	0	-51.96	8.99249e-3	-51.96	0
-51.86	-0.0666908	-51.86	0	-51.86	0.0273033	-51.86	0	-51.86	-8.94934e-4	-51.86	0	-51.86	0.0185141	-51.86	0	-51.86	0.0284019	-51.86	0	-51.86	3.37735e-3	-51.86	0
-51.76	-0.0656331	-51.76	0	-51.76	0.0381266	-51.76	0	-51.76	4.069e-3	-51.76	0	-51.76	0.0234782	-51.76	0	-51.76	0.0275065	-51.76	0	-51.76	8.34146e-3	-51.76	0
-51.66	-0.0610759	-51.66	0	-51.66	0.0348714	-51.66	0	-51.66	8.13782e-4	-51.66	0	-51.66	0.0104573	-51.66	0	-51.66	0.0281575	-51.66	0	-51.66	0.0141194	-51.66	0
-51.56	-0.0610759	-51.56	0	-51.56	0.029012	-51.56	0	-51.56	-5.04565e-3	-51.56	0	-51.56	0.0143636	-51.56	0	-51.56	0.0379231	-51.56	0	-51.56	7.03937e-3	-51.56	0
-51.46	-0.0669352	-51.46	0	-51.46	0.0270589	-51.46	0	-51.46	-6.99872e-3	-51.46	0	-51.46	0.0124105	-51.46	0	-51.46	0.0313314	-51.46	0	-51.46	1.17999e-3	-51.46	0
-51.36	-0.0714924	-51.36	0	-51.36	0.0244549	-51.36	0	-51.36	1.6287e-4	-51.36	0	-51.36	9.80622e-3	-51.36	0	-51.36	0.0255535	-51.36	0	-51.36	-3.37738e-3	-51.36	0
